name,nse_tradingsymbol,bse_tradingsymbol,nse_instrument_token,bse_instrument_token
Glenmark Pharmaceuticals Limited,GLENMARK,GLENMARK,1895937,136267780
Gujarat Lease Financing Limited,GLFL,GLFL,295937,128044548
Global Vectra Helicorp Limited,GLOBALVECT,GLOBALVECT,3516161,136389892
Globus Spirits Limited,GLOBUSSPR,GLOBUSSPR,4460545,136474628
GM Breweries Limited,GMBREW,GMBREW,299009,129916932
Gujarat Mineral Development Corporation Limited,GMDCLTD,GMDCLTD,1332225,136238340
GMM Pfaudler Limited,GMMPFAUDLR,GMM,401921,129345284
GMR Infrastructure Limited,GMRINFRA,GMRINFRA,3463169,136385028
GNA Axles Limited,GNA,GNA,4754177,138271748
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,GNFC,300545,128171524
GOCL Corporation Limited,GOCLCORP,GOCLCORP,1014529,129658884
Godfrey Phillips India Limited,GODFRYPHLP,GODFRYPHLP,302337,128041732
Godrej Agrovet Limited,GODREJAGRO,GODREJAGRO,36865,138430212
Godrej Consumer Products Limited,GODREJCP,GODREJCP,2585345,136300548
Godrej Industries Limited,GODREJIND,GODREJIND,2796801,128041988
Godrej Properties Limited,GODREJPROP,GODREJPROP,4576001,136486404
Gokaldas Exports Limited,GOKEX,GOKEX,3015169,136353284
Gokul Refoils and Solvent Limited,GOKUL,GOKUL,4276481,136442884
Gokul Agro Resources Limited,GOKULAGRO,GOKULAGRO,3706881,138169604
Golden Tobacco Limited,GOLDENTOBC,GOLDENTOBC,321281,128038660
Goldiam International Limited,GOLDIAM,GOLDIAM,3064577,134842628
Goldstone Technologies Limited,GOLDTECH,GOLDTECH,2527745,136048388
Goodluck India Limited,GOODLUCK,GOODLUCK,1568001,135847684
Goodyear India Limited,GOODYEAR,GOODYEAR,308481,128043012
Gujarat Pipavav Port Limited,GPPL,GPPL,5051137,136511492
GPT Infraprojects Limited,GPTINFRA,GPTINFRA,4527361,136642820
Granules India Limited,GRANULES,GRANULES,3039233,136315396
Graphite India Limited,GRAPHITE,GRAPHITE,151553,130428932
Grasim Industries Limited,GRASIM,GRASIM,315393,128076804
Gravita India Limited,GRAVITA,GRAVITA,5256705,136520196
Greaves Cotton Limited,GREAVESCOT,GREAVESCOT,316161,128372484
Greenlam Industries Limited,GREENLAM,GRNLAMIND,1753089,137978628
Greenply Industries Limited,GREENPLY,GREENPLY,1020673,134860036
Orient Green Power Company Limited,GREENPOWER,GREENPOWER,5148161,136515332
Grindwell Norton Limited,GRINDWELL,GRINDWELL,3471361,129555460
GRP Limited,GRPLTD,GRPLTD,1675009,130342916
Garden Reach Shipbuilders & Engineers Limited,GRSE,GRSE,1401601,138754820
Gujarat Sidhee Cement Limited,GSCLCEMENT,GSCLCEMENT,7641601,132615428
Gujarat State Fertilizers & Chemicals Limited,GSFC,GSFC,319233,128176644
Gujarat State Petronet Limited,GSPL,GSPL,3378433,136371716
GSS Infotech Limited,GSS,GSS,3928833,136435460
GTL Limited,GTL,GTL,297473,128040964
GTL Infrastructure Limited,GTLINFRA,GTLINFRA,3518721,136390404
GTN Textiles Limited,GTNTEX,GTNTEX,3449089,136382468
GTPL Hathway Limited,GTPL,GTPL,5425921,138394116
Gufic Biosciences Limited,GUFICBIO,GUFICBIO,2971137,130324228
Gujarat Alkalies and Chemicals Limited,GUJALKALI,GUJALKALI,324353,135680260
Gujarat Apollo Industries Limited,GUJAPOLLO,GUJAPOLLO,3757313,133687556
Gujarat Gas Limited,GUJGASLTD,GUJGAS,2713345,138070020
Gulf Oil Lubricants India Limited,GULFOILLUB,GULFOILLUB,1124097,137873156
GP Petroleums Limited,GULFPETRO,GULFPETRO,2964737,136331012
Gulshan Polyols Limited,GULPOLY,GULPOLY,1609217,136308996
Hindustan Aeronautics Limited,HAL,HAL,589569,138535428
Happiest Minds Technologies Limited,HAPPSTMNDS,HAPPSTMNDS,12289,139066116
Harrisons  Malayalam Limited,HARRMALAYA,HARRMALAYA,336129,128119556
Hathway Cable & Datacom Limited,HATHWAY,HATHWAY,4647425,136489476
Hatsun Agro Product Limited,HATSUN,HATSUN,996353,136071940
Havells India Limited,HAVELLS,HAVELLS,2513665,132442628
HBL Power Systems Limited,HBLPOWER,HBLPOWER,3575297,132421380
HB Stockholdings Limited,HBSL,HBSTOCK,1053697,136247300
Hindustan Construction Company Limited,HCC,HCC,352001,128047364
Healthcare Global Enterprises Limited,HCG,HCG,3982081,138185476
HCL Infosystems Limited,HCL-INSYS,HCL-INSYS,339713,128045828
HCL Technologies Limited,HCLTECH,HCLTECH,1850625,136263940
Housing Development Finance Corporation Limited,HDFC,HDFC,340481,128002564
HDFC Asset Management Company Limited,HDFCAMC,HDFCAMC,1086465,138682628
HDFC Bank Limited,HDFCBANK,HDFCBANK,341249,128046084
HDFC Life Insurance Company Limited,HDFCLIFE,HDFCLIFE,119553,138438916
HEG Limited,HEG,HEG,342017,130465540
HeidelbergCement India Limited,HEIDELBERG,HEIDELBERG,592897,128074756
Hemisphere Properties India Limited,HEMIPROP,HEMIPROP,179457,139069956
Heranba Industries Limited,HERANBA,HERANBA,669185,139076100
Hercules Hoists Limited,HERCULES,HERCULES,3913729,129464324
Heritage Foods Limited,HERITGFOOD,HERITGFOOD,1177089,133005316
Hero MotoCorp Limited,HEROMOTOCO,HEROMOTOCO,345089,128046596
Hester Biosciences Limited,HESTERBIO,HESTERBIO,1804289,134315268
Hexa Tradex Limited,HEXATRADEX,HEXATRADEX,6914049,136787972
HFCL Limited,HFCL,HFCL,5619457,128046852
H.G. Infra Engineering Limited,HGINFRA,HGINFRA,428033,138500868
Hikal Limited,HIKAL,HIKAL,2475009,134332164
HIL Limited,HIL,HIL,372481,130476804
Himatsingka Seide Limited,HIMATSEIDE,HIMATSEIDE,348161,131595012
Hindalco Industries Limited,HINDALCO,HINDALCO,348929,128112644
Hindustan Composites Limited,HINDCOMPOS,HINDCOMPOS,351233,130466564
Hindustan Copper Limited,HINDCOPPER,HINDCOPPER,4592385,131481348
Hindustan Motors Limited,HINDMOTORS,HINDMOTORS,5549057,128128004
Hindusthan National Glass & Industries Limited,HINDNATGLS,HINDNATGLS,4363777,131877124
Hindustan Oil Exploration Company Limited,HINDOILEXP,HINDOILEXP,359169,128047620
Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO,359937,128026628
Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR,356865,128178180
Hindustan Zinc Limited,HINDZINC,HINDZINC,364545,128048132
Hind Rectifiers Limited,HIRECT,HIRECT,3555841,129033220
Hisar Metal Industries Limited,HISARMETAL,HISARMET,4946433,151044612
Hitech Corporation Limited,HITECHCORP,HITECHCORP,3881217,134711556
The Hi-Tech Gears Limited,HITECHGEAR,HITECHGEAR,1134849,133650692
HLE Glascoat Limited,HLEGLAS,HLEGLAS,585985,133687044
HLV LIMITED,HLVLTD,HLVLTD,370689,128049412
Hindustan Media Ventures Limited,HMVL,HMVL,4918017,136503556
Home First Finance Company India Limited,HOMEFIRST,HOMEFIRST,526337,139074308
Honeywell Automation India Limited,HONAUT,HONAUT,874753,132396548
Honda India Power Products Limited,HONDAPOWER,HONDAPOWER,803329,133648388
HOV Services Limited,HOVS,HOVS,3479553,136386820
HPL Electric & Power Limited,HPL,HPL,4781825,138274820
Himadri Speciality Chemical Limited,HSCL,HSCL,3669505,128047108
HSIL Limited,HSIL,HSIL,361473,128047876
HT Media Limited,HTMEDIA,HTMEDIA,3066625,136361476
Housing & Urban Development Corporation Limited,HUDCO,HUDCO,5331201,138375684
Huhtamaki India Limited,HUHTAMAKI,HUHTAMAKI,655873,130513924
Indiabulls Real Estate Limited,IBREALEST,IBREALEST,3699201,136404996
Indiabulls Housing Finance Limited,IBULHSGFIN,IBULHSGFIN,7712001,137161988
ICICI Bank Limited,ICICIBANK,ICICIBANK,1270529,136236548
ICICI Lombard General Insurance Company Limited,ICICIGI,ICICIGI,5573121,138423300
ICICI Prudential Life Insurance Company Limited,ICICIPRULI,ICICIPRULI,4774913,138274052
Indo Count Industries Limited,ICIL,ICIL,3068673,133380100
ICRA Limited,ICRA,ICRA,3717889,136405764
IDBI Bank Limited,IDBI,IDBI,377857,128029700
Vodafone Idea Limited,IDEA,IDEA,3677697,136402436
IDFC Limited,IDFC,IDFC,3060993,136360708
IDFC First Bank Limited,IDFCFIRSTB,IDFCFIRSTB,2863105,138095876
Indian Energy Exchange Limited,IEX,IEX,56321,138432004
IFB Agro Industries Limited,IFBAGRO,IFBAGRO,379393,129904132
IFB Industries Limited,IFBIND,IFBIND,380161,129465860
IFCI Limited,IFCI,IFCI,381697,128027140
IFGL Refractories Limited,IFGLEXPOR,IFGLEXPOR,111617,138438148
Igarashi Motors India Limited,IGARASHI,IGARASHI,162305,132449284
Indraprastha Gas Limited,IGL,IGL,2883073,136323588
IG Petrochemicals Limited,IGPL,IGPL,3606017,128050948
IIFL Securities Limited,IIFLSEC,IIFLSEC,3346433,138949892
Iifl Wealth Management Limited,IIFLWAM,IIFLWAM,3343617,138949636
Industrial Investment Trust Limited,IITL,IITL,4998401,128331524
Indian Metals & Ferro Alloys Limited,IMFA,IMFA,4924161,136460036
India Motor Parts and Accessories Limited,IMPAL,IMPAL,3074305,151056644
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE,INCREDIBLE,4481793,137821444
Indbank Merchant Banking Services Limited,INDBANK,INDBANK,4334849,130937092
The Indian Hotels Company Limited,INDHOTEL,INDHOTEL,387073,128217604
The India Cements Limited,INDIACEM,INDIACEM,387841,135681284
India Glycols Limited,INDIAGLYCO,INDIAGLYCO,389377,128051460
Indiamart Intermesh Limited,INDIAMART,INDIAMART,2745857,138937860
Indian Bank,INDIANB,INDIANB,3663105,136400388
Indian Card Clothing Company Limited,INDIANCARD,INDIANCARD,1132033,130481156
Indian Hume Pipe Company Limited,INDIANHUME,INDIANHUME,391681,129213700
InterGlobe Aviation Limited,INDIGO,INDIGO,2865921,138098692
Indigo Paints Limited,INDIGOPNTS,INDIGOPNTS,524289,139074052
IMP Powers Limited,INDLMETER,INDLMETER,1008129,132498180
India Nippon Electricals Limited,INDNIPPON,INDNIPPON,1215233,136253444
Indoco Remedies Limited,INDOCO,INDOCO,2989313,136348676
IndoStar Capital Finance Limited,INDOSTAR,INDOSTAR,790529,138582020
Indo Tech Transformers Limited,INDOTECH,INDOTECH,3398401,136375556
Indowind Energy Limited,INDOWIND,INDOWIND,3827713,136420868
Indraprastha Medical Corporation Limited,INDRAMEDCO,INDRAMEDCO,1216257,136230404
Ind-Swift Laboratories Limited,INDSWFTLAB,INDSWFTLAB,1246721,136270084
Indian Terrain Fashions Limited,INDTERRAIN,INDTERRAIN,5620993,136532228
IndusInd Bank Limited,INDUSINDBK,INDUSINDBK,1346049,136239876
Indus Towers Limited,INDUSTOWER,INDUSTOWER,7458561,136912900
INEOS Styrolution India Limited,INEOSSTYRO,INEOSSTYRO,4865,129592836
Infibeam Avenues Limited,INFIBEAM,INFIBEAM,4159745,138190596
Infosys Limited,INFY,INFY,408065,128053508
Ingersoll Rand (India) Limited,INGERRAND,INGERRAND,408833,128053764
INOX Leisure Limited,INOXLEISUR,INOXLEISUR,3384577,136372740
Inox Wind Limited,INOXWIND,INOXWIND,2010113,138005252
Insecticides (India) Limited,INSECTICID,INSECTICID*,3752193,136409860
Inspirisys Solutions Limited,INSPIRISYS,INSPIRISYS,3514881,136390148
Intellect Design Arena Limited,INTELLECT,INTELLECT,1517057,137941764
Intense Technologies Limited,INTENTECH,INTENTECH,5138177,136275460
Inventure Growth & Securities Limited,INVENTURE,INVENTURE,6366721,136577540
Indian Overseas Bank,IOB,IOB,2393089,136291332
Indian Oil Corporation Limited,IOC,IOC,415745,135927044
IOL Chemicals and Pharmaceuticals Limited,IOLCP,IOLCP,5225729,134185988
IPCA Laboratories Limited,IPCALAB,IPCALAB,418049,134270468
IRB Infrastructure Developers Limited,IRB,IRB,3920129,136434436
Ircon International Limited,IRCON,IRCON,1276417,138740740
Indian Railway Catering And Tourism Corporation Limited,IRCTC,IRCTC,3484417,138964484
Indian Railway Finance Corporation Limited,IRFC,IRFC,519425,139073796
ICICI Securities Limited,ISEC,ISEC,637185,138541828
Intrasoft Technologies Limited,ISFT,ISFT,4730625,136494340
Isgec Heavy Engineering Limited,ISGEC,ISGEC,852225,136456452
ITC Limited,ITC,ITC,424961,128224004
India Tourism Development Corporation Limited,ITDC,ITDC,4940545,136240388
ITD Cementation India Limited,ITDCEM,ITDCEM,1439233,130430980
ITI Limited,ITI,ITI,428801,134044164
IVP Limited,IVP,IVP,430337,129940484
IZMO Limited,IZMO,IZMO,3628545,136279300
The Jammu & Kashmir Bank Limited,J&KBANK,J&KBANK,1442049,136245508
Jagran Prakashan Limited,JAGRAN,JAGRAN*,3382017,136372484
Jagsonpal Pharmaceuticals Limited,JAGSNPHARM,JAGSNPHARM,1128961,129993988
Jai Balaji Industries Limited,JAIBALAJI,JAIBALAJI,2881537,136441860
Jai Corp Limited,JAICORPLTD,JAICORPLTD,1316609,131132676
Jamna Auto Industries Limited,JAMNAAUTO,JAMNAAUTO,5319169,133133060
Jayant Agro Organics Limited,JAYAGROGN,JAYAGROGN,1034497,134228484
Jay Bharat Maruti Limited,JAYBARMARU,JAYBARMARU,437249,133136900
Jayshree Tea & Industries Limited,JAYSREETEA,JAYSHREETEA,440321,130487044
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM,JBCHEPHARM,441857,129777412
JBM Auto Limited,JBMA,JBMA,2983681,136346884
Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC,JCHAC,1149697,133989892
JHS Svendgaard Laboratories Limited,JHS,JHS,3512321,136389380
Jindal Poly Films Limited,JINDALPOLY,JINDALPOLY,449537,128058116
Jindal Saw Limited,JINDALSAW,JINDALSAW,774145,128096772
Jindal Steel & Power Limited,JINDALSTEL,JINDALSTEL,1723649,136265220
Jindal Drilling And Industries Limited,JINDRILL,JINDRILL,3552001,130824708
Jindal Worldwide Limited,JINDWORLD,JINDWORLD,5284353,136075012
Jain Irrigation Systems Limited,JISLJALEQS,JISLJALEQS,2661633,128056068
JK Cement Limited,JKCEMENT,JKCEMENT,3397121,136356868
J.Kumar Infraprojects Limited,JKIL,JKIL,3908097,136432644
JK Lakshmi Cement Limited,JKLAKSHMI,JKLAKSHMI,3453697,128097284
JK Paper Limited,JKPAPER,JKPAPER,3036161,136233476
JK Tyre & Industries Limited,JKTYRE,JKTYRE,3695361,135681796
JMC Projects (India)  Limited,JMCPROJECT,JMCPROJECT,1134081,133699332
JM Financial Limited,JMFINANCIL,JMFINANCIL,3491073,133991684
JMT Auto Limited,JMTAUTOLTD,JMTAUTOLTD,3704321,131504900
Jaiprakash Power Ventures Limited,JPPOWER,JPPOWER,3011329,136352516
Jindal Stainless Limited,JSL,JSL,2876417,136322052
Jindal Stainless (Hisar) Limited,JSLHISAR,JSLHISAR,3149825,138136836
JSW Energy Limited,JSWENERGY,JSWENERGY,4574465,136485892
JSW Holdings Limited,JSWHL,JSWHL,3041281,136356356
JSW Steel Limited,JSWSTEEL,JSWSTEEL,3001089,128058372
Jtekt India Limited,JTEKTINDIA,JTEKTINDIA,828673,133134596
Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD,4632577,136487684
Jubilant Industries Limited,JUBLINDS,JUBLINDS,5514497,136529924
Jubilant Ingrevia Limited,JUBLINGREA,JUBLINGREA,712449,139077380
Jubilant Pharmova Limited,JUBLPHARMA,JUBLPHARMA,931073,135684868
Jump Networks Limited,JUMPNET,JUMPNET,3085313,136022276
Just Dial Limited,JUSTDIAL,JUSTDIAL,7670273,137125892
Jyothy Labs Limited,JYOTHYLAB,JYOTHYLAB,3877377,136429060
Kabra Extrusion Technik Limited,KABRAEXTRU,KABRAEXTRU,462081,134171908
Kajaria Ceramics Limited,KAJARIACER,KAJARIACER,462849,128059652
Kakatiya Cement Sugar & Industries Limited,KAKATCEM,KAKATCEM,463617,128059908
Kalpataru Power Transmission Limited,KALPATPOWR,KALPATPOWR,464385,133705476
Kalyan Jewellers India Limited,KALYANKJIL,KALYANKJIL,756481,139079172
Kamdhenu Limited,KAMDHENU,KAMDHENU,3444993,136381700
Kanoria Chemicals & Industries Limited,KANORICHEM,KANORICHEM,469761,129670404
Kanpur Plastipack Limited,KANPRPLA,KANPRPLA,456193,129991428
Kansai Nerolac Paints Limited,KANSAINER,KANSAINER,306177,128042244
Karur Vysya Bank Limited,KARURVYSYA,KARURVYSYA,470529,151040772
Kaya Limited,KAYA,KAYA,2630657,138054660
KCP Limited,KCP,KCP,471297,151056900
KCP Sugar and Industries Corporation Limited,KCPSUGIND,KCPSUGIND,1231105,136497156
KEC International Limited,KEC,KEC,3394561,136374788
KEI Industries Limited,KEI,KEI,3407361,132497668
Kellton Tech Solutions Limited,KELLTONTEC,KELLTONTEC,3438081,133018116
Kennametal India Limited,KENNAMET,KENNAMET,3031297,129507844
Kesoram Industries Limited,KESORAMIND,KESORAMIND,475905,128751876
Keynote Financial Services Limited,KEYFINSERV,KEYFINSER,1064193,131224836
Khadim India Limited,KHADIM,KHADIM,108801,138438404
Khaitan Chemicals & Fertilizers Limited,KHAICHEM,KHAICHEM,229377,129995268
Khandwala Securities Limited,KHANDSE,KHANDSE,2468097,136164356
Kalyani Investment Company Limited,KICL,KICL,5406465,136525316
Kingfa Science & Technology (India) Limited,KINGFA,KINGFA,4849665,134148868
KIOCL Limited,KIOCL,KIOCL,4896257,138414084
Kiri Industries Limited,KIRIINDUS,KIRIINDUS,4259585,136439556
Kirloskar Ferrous Industries Ltd,KIRLFER,KIRLFER,3703297,128062724
Kirloskar Oil Engines Limited,KIRLOSENG,KIRLOSENG,5359617,136523012
Kirloskar Industries Limited,KIRLOSIND,KIRLOSIND,4870401,128062212
Kitex Garments Limited,KITEX,KITEX,7398145,133439492
Kewal Kiran Clothing Limited,KKCL,KKCL,3425537,136379396
K.M.Sugar Mills Limited,KMSUGAR,KMSUGAR,3754753,136364292
KNR Constructions Limited,KNRCON,KNRCON,3912449,136433156
Kokuyo Camlin Limited,KOKUYOCMLN,KOKUYOCMLN,4307713,133940996
Kolte - Patil Developers Limited,KOLTEPATIL,KOLTEPATIL,3871745,136428548
Kopran Limited,KOPRAN,KOPRAN,491265,134215684
Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK,492033,128063236
Kothari Products Limited,KOTHARIPRO,KOTHARIPRO,1415169,135756548
KPIT Technologies Limited,KPITTECH,KPITTECH,2478849,138918660
K.P.R. Mill Limited,KPRMILL,KPRMILL,3817473,136419588
KRBL Limited,KRBL,KRBL,2707713,135888132
Krebs Biochemicals and Industries Limited,KREBSBIO,KREBSBIO,495873,134276612
Ksb Limited,KSB,KSB,498945,128063748
Kaveri Seed Company Limited,KSCL,KSCL,3832833,136422148
Kalyani Steels Limited,KSL,KSL,4835585,128060164
The Karnataka Bank Limited,KTKBANK,KTKBANK,2061825,136358916
Kuantum Papers Limited,KUANTUM,KUANTUM,3550721,136431876
L&T Finance Holdings Limited,L&TFH,L&TFH,6386689,136580868
Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB,2983425,138118148
Lambodhara Textiles Limited,LAMBODHARA,LAMBODHARA,1640193,151059204
La Opala RG Limited,LAOPALA,LAOPALA,3692289,134898436
Lasa Supergenerics Limited,LASA,LASA,5558529,138419716
Laurus Labs Limited,LAURUSLABS,LAURUSLABS,4923905,138296836
Lakshmi Machine Works Limited,LAXMIMACH,LAXMIMACH,506625,128064516
Lemon Tree Hotels Limited,LEMONTREE,LEMONTREE,667137,138555652
LG Balakrishnan & Bros Limited,LGBBROSLTD,LGBBROSLTD,4690177,128064004
LGB Forge Limited,LGBFORGE,LGBFORGE,4312321,136449796
Liberty Shoes Limited,LIBERTSHOE,LIBERTSHOE,510465,134808580
LIC Housing Finance Limited,LICHSGFIN,LICHSGFIN,511233,128064772
Likhitha Infrastructure Limited,LIKHITHA,LIKHITHA,147969,139069444
Lincoln Pharmaceuticals Limited,LINCOLN,LINCOPH,2968577,136098052
Linde India Limited,LINDEINDIA,LINDEINDIA,416513,134004996
Macrotech Developers Limited,LODHA,LODHA,824321,139081476
Lotus Eye Hospital and Institute Limited,LOTUSEYE,LEHIL,4302593,136447492
Larsen & Toubro Limited,LT,LT,2939649,128130564
Larsen & Toubro Infotech Limited,LTI,LTI,4561409,138241284
L&T Technology Services Limited,LTTS,LTTS,4752385,138269444
Lumax Industries Limited,LUMAXIND,LUMAXIND,516609,132404740
Lumax Auto Technologies Limited,LUMAXTECH,LUMAXTECH,3587585,136395780
Lupin Limited,LUPIN,LUPIN,2672641,128065796
Lux Industries Limited,LUXIND,LUXIND,2893057,138122756
Laxmi Organic Industries Limited,LXCHEM,LXCHEM,727297,139078916
Lypsa Gems & Jewellery Limited,LYPSAGEMS,LYPSAGEMS,8055809,136840196
Mahindra & Mahindra Limited,M&M,M&M,519937,128133124
Mahindra & Mahindra Financial Services Limited,M&MFIN,M&MFIN,3400961,136376324
Maan Aluminium Limited,MAANALU,MAANALU,3844353,136423940
Madhav Marbles and Granites Limited,MADHAV,MADHAV,3878657,131863812
Madhucon Projects Limited,MADHUCON,MADHUCON,3499777,136063236
Madras Fertilizers Limited,MADRASFERT,MADRASFERT,1257217,151074308
Magadh Sugar & Energy Limited,MAGADSUGAR,MAGADHSUGAR,5476353,138406404
Bank of Maharashtra,MAHABANK,MAHABANK,2912513,136326404
Mahamaya Steel Industries Limited,MAHASTEEL,MAHASTEEL,4486913,131469828
Mahindra EPC Irrigation Limited,MAHEPC,MAHEPC,4506369,134081028
Mahindra CIE Automotive Limited,MAHINDCIE,MAHINDCIE,3823873,136385540
Mahindra Lifespace Developers Limited,MAHLIFE,MAHLIFE,2060801,136272132
Mahindra Logistics Limited,MAHLOG,MAHLOG,98561,138436612
Maharashtra Scooters Limited,MAHSCOOTER,MAHSCOOTER,533761,128068100
Maharashtra Seamless Limited,MAHSEAMLES,MAHSEAMLES,534529,128067844
Maithan Alloys Limited,MAITHANALL,MAITHANALL,6281729,151059972
Majesco Limited,MAJESCO,MJCO,2639361,138057988
Malu Paper Mills Limited,MALUPAPER,MALUPAPER,3418113,136378372
Manaksia Coated Metals & Industries Limited,MANAKCOAT,MNKCMILTD,1897729,137995780
Manaksia Limited,MANAKSIA,MANAKSIA,3890945,136430596
Manaksia Steels Limited,MANAKSTEEL,MANAKSTELTD,1910529,137995268
Manappuram Finance Limited,MANAPPURAM,MANAPPURAM,4879617,135990532
Mangalam Drugs And Organics Limited,MANGALAM,MANGALAM,3025153,136355076
Mangalore Chemicals & Fertilizers Limited,MANGCHEFER,MANGCHEFER,3841793,135682820
Mangalam Cement Limited,MANGLMCEM,MANGLMCEM,539137,128552196
Mangalam Timber Products Limited,MANGTIMBER,MANGTIMBER,539905,132097796
Man Industries (India) Limited,MANINDS,MANINDS,3042305,131396868
Man Infraconstruction Limited,MANINFRA,MANINFRA,4665857,136491268
Maral Overseas Limited,MARALOVER,MARALOVER,540673,133380612
Marathon Nextgen Realty Limited,MARATHON,MARATHON,4776705,128793860
Marico Limited,MARICO,MARICO,1041153,136100356
Marksans Pharma Limited,MARKSANS,MARKSANS,2708225,134247428
Maruti Suzuki India Limited,MARUTI,MARUTI,2815745,136320004
MAS Financial Services Limited,MASFIN,MASFIN,50945,138431748
Mastek Limited,MASTEK,MASTEK,543745,134068228
Matrimony.Com Limited,MATRIMONY,MATRIMONY,5561857,138420228
Max Healthcare Institute Limited,MAXHEALTH,MAXHEALTH,5728513,139064324
Max India Limited,MAXIND,MAXINDIA,5741569,139065092
Max Ventures and Industries Limited,MAXVIL,MAXVIL,4471809,138224644
Mayur Uniquoters Ltd,MAYURUNIQ,MAYURUNIQ,7399937,133695748
Mazda Limited,MAZDA,MAZDALTD,4829697,134090756
Mazagon Dock Shipbuilders Limited,MAZDOCK,MAZDOCK,130305,139068676
MBL Infrastructures Limited,MBLINFRA,MBLINFRA,4615425,136486916
United Spirits Limited,MCDOWELL-N,UNITDSPR,2674433,136302596
Multi Commodity Exchange of India Limited,MCX,MCX,7982337,136727300
Menon Bearings Limited,MENONBE,MENONBE,1782017,134099972
MEP Infrastructure Developers Limited,MEP,MEP,2245377,138016260
Mercator Limited,MERCATOR,MERCATOR,3040257,134716164
Metropolis Healthcare Limited,METROPOLIS,METROPOLIS,2452737,138918404
Max Financial Services Limited,MFSL,MFSL,548353,128069380
Mahanagar Gas Limited,MGL,MGL,4488705,138228996
Mahindra Holidays & Resorts India Limited,MHRIL,MHRIL,4437249,136470532
Mishra Dhatu Nigam Limited,MIDHANI,MIDHANI,630529,138545924
Minda Corporation Limited,MINDACORP,MINDACORP,6629633,137974276
Minda Industries Limited,MINDAIND,MINDAIND,3623425,136329988
Mindteck (India) Limited,MINDTECK,MINDTECK,4620545,132440068
MindTree Limited,MINDTREE,MINDTREE,3675137,136401668
MIRC Electronics Limited,MIRCELECTR,MIRCELECTR,563713,128071428
Mirza International Limited,MIRZAINT,MIRZAINT,1124865,134820356
MM Forgings Limited,MMFL,MMFL,3544065,133693700
MMTC Limited,MMTC,MMTC,4596993,131424516
Modison Metals Limited,MODISNME,MODISNME,848897,129602820
Mohota Industries Limited,MOHOTAIND,MOHOTAIND,1029889,135692036
MOIL Limited,MOIL,MOIL,5332481,136521220
Mold-Tek Technologies Limited,MOLDTECH,MOLDTEK,4512001,134723332
Mold-Tek Packaging Limited,MOLDTKPAC,MOLDTKPAC,1718529,136468484
Monte Carlo Fashions Limited,MONTECARLO,MONTECARLO,1520129,137942020
Morarjee Textiles Limited,MORARJEE,MORARJEE,7392513,136350980
Morepen Laboratories Limited,MOREPENLAB,MOREPENLAB,578305,128073732
Motherson Sumi Systems Limited,MOTHERSUMI,MOTHERSUMI,1076225,132437508
Motilal Oswal Financial Services Limited,MOTILALOFS,MOTILALOFS,3826433,136420356
The Motor & General Finance Limited,MOTOGENFIN,MOTOGENFIN,580609,128343812
MphasiS Limited,MPHASIS,MPHASIS,1152769,134732548
MPS Limited,MPSLTD,MPSLTD,2707969,136304644
MRF Limited,MRF,MRF,582913,128074244
MRO-TEK Realty Limited,MRO-TEK,MRO-TEK,2303489,136288260
Mangalore Refinery and Petrochemicals Limited,MRPL,MRPL,584449,128027908
Mstc Limited,MSTCLTD,MSTC,2395137,138904836
Mtar Technologies Limited,MTARTECH,MTARTECH,693505,139077124
Mahanagar Telephone Nigam Limited,MTNL,MTNL,587265,128027652
Mukta Arts Limited,MUKTAARTS,MUKTAARTS,2223873,136283396
Munjal Auto Industries Limited,MUNJALAU,MUNJALAU,3458817,133135108
Munjal Showa Limited,MUNJALSHOW,MUNJALSHOW,590593,133131012
Murudeshwar Ceramics Limited,MURUDCERA,MURUDCERA,592129,131849476
Muthoot Capital Services Limited,MUTHOOTCAP,MUTHTFN,2666241,131012100
Muthoot Finance Limited,MUTHOOTFIN,MUTHOOTFIN,6054401,136549892
NACL Industries Limited,NACLIND,NACLIND,5228801,134325508
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT,NAGARFERT,4427521,138218756
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,NAGREEKCAP,3825153,136421124
Nagreeka Exports Limited,NAGREEKEXP,NAGREEKEXP,3763713,133403908
Nahar Capital and Financial Services Limited,NAHARCAP,NAHARCAP,3932161,136435716
Nahar Industrial Enterprises Limited,NAHARINDUS,NAHARINDUS,3355137,132898820
Nahar Poly Films Limited,NAHARPOLY,NAHARPOLY,3697921,133988100
Nahar Spinning Mills Limited,NAHARSPING,NAHARSPING,3696641,128075780
Nippon Life India Asset Management Limited,NAM-INDIA,NAM-INDIA,91393,138436356
Natco Pharma Limited,NATCOPHARM,NATCOPHARM,1003009,134352900
